Date,PM10_BEHALA,PM10_SHYAMBAZAR,PM10_DUNLOP,PM10_MAULALI,PM10_SALTLAKE,PM10_MINTOPARK,PM10_ULTODANGA,PM10_BAISHNABGHATA,PM10_TOLLYGAUNGE,PM10_PICNICGARDEN,PM10_BELIAGHATA,PM10_MOMINPORE,PM10_TOPSIA,PM10_HYDEROAD,PM10_GARIAHAT,PM10_PARIBESHBHAWAN,PM10_RAJBHAWAN,PM10_RAJARHAT
"Monthly average October, 2009",92.6,95.1,109.3,107.8,92.6,75.6,94.5,67.1,88.5,82,78.9,74.4,58.9,94.6,77.3,48.1,134,134
"Monthly average November, 2009",127.8,128.1,147.3,144.4,127.8,98.2,117.1,100.2,137.4,90.4,95,119,83.2,125.2,97.9,160.1,166.1,166.1
"Monthly average December, 2009",201.3,192.9,241.4,210.8,201.3,158.6,159.2,147.3,160.1,145.4,164.1,164,129.9,195.2,159.3,242.3,267.5,267.5
"Monthly average January, 2010",222.2,201.8,184.4,214.1,173.3,150.6,172.5,175.4,162.5,123.8,178.3,174.6,146.6,177.9,165.6,246.1,191.2,191.2
"Monthly average February, 2010",198.2,179.9,232.7,201.1,167.5,144.6,168.7,148.9,174.6,137.8,153.6,155.3,137.8,206.1,146,165.7,156,156
"Monthly average March, 2010",119.2,111.6,135.8,110,93.5,81.3,85.6,69.5,81.3,70.4,85.6,84.2,85.5,106.1,73.2,118.1,116.9,116.9
"Monthly average April, 2010",60.2,48,51.7,60.2,49.9,35.4,49.1,34.8,36.2,32.1,45.9,40.1,43.4,45.4,32,62.3,38.9,38.9
"Monthly average May, 2010",48.8,35.1,43.2,43.8,39.1,23.9,36.7,30.5,31.6,27.5,32.8,33.9,35.3,42.8,26.8,39.2,34.2,34.2
"Monthly average June, 2010",40.6,36.5,40.2,42.8,32.8,26.4,34.6,28.7,33.1,29,28.3,34,32.1,35.8,25.8,40.4,34.5,34.5
"Monthly average July, 2010",36.3,31.1,34.3,33.7,28.2,23.9,29.3,24.5,26.1,21.2,23.9,25.3,28.1,31.9,24.8,25,26.8,26.8
"Monthly average August, 2010",34.1,32.7,36.8,34.7,27.6,25.6,28.4,22.9,27,20.7,24.5,26.3,25.9,31.6,23.8,24.8,31.8,31.8
"Monthly average September, 2010",40.4,39.1,38,42.1,31.3,33.7,34,30.4,31,26.3,29.5,31.6,30.2,33.6,30.4,40,67.1,67.1
"Monthly average October, 2010",73.1,72.7,68.6,80.1,60.7,63.9,69.2,61.2,57.5,51.4,61.5,63.7,58.4,62.5,57.7,52.3,134,134
"Monthly average November, 2010",148.2,92.3,160.8,146.4,134.1,83.3,131.7,126.8,145.1,129.2,128.4,120.6,111.1,147.6,98.3,153.5,166.1,166.1
"Monthly average December, 2010",175.9,200.4,199.2,253.1,171.3,131.3,228.6,225,159.4,131.1,173.4,219.3,140.4,176.9,150.3,144.4,267.5,267.5
"Monthly average January, 2011",216.8,217.8,261.4,245.6,218.1,177.7,208.2,199.5,198.7,184.6,185.4,203.6,177.9,225.7,204.2,253.7,120.5,120.5
"Monthly average February, 2011",195,169.9,227,198,154.4,138.3,164.5,172.5,151.6,141.2,148.5,151,122.4,180,177,289.9,87.8,87.8
"Monthly average March, 2011",99.4,104.8,133.9,108.4,91,72.1,85.9,74.6,73.5,78,75.1,75.2,83.6,93.6,83.2,233.4,57,57
"Monthly average April, 2011",70.2,65.3,85.5,68.2,62.7,44.7,53.4,47.3,61,55,52.9,50.7,64.3,77,47.9,188.3,38.9,38.9
"Monthly average May, 2011",50.5,53.2,65.4,54.9,44.6,34.6,43.7,35.8,39.3,38.3,37.8,38.3,45.8,53,36.7,61.3,34.2,34.2
"Monthly average June, 2011",44.8,46.5,50.9,49,41.7,34.7,38,33.8,37.7,29.7,33.7,36.8,35.4,39,34.5,53.4,34.5,34.5
"Monthly average July, 2011",40.4,40.3,36.5,37.9,33,31.6,31.9,27.7,30.6,24.9,26.8,26.1,32.5,34.9,29.4,46.1,26.8,26.8
